,,,,,,,,,,,,
Constellation Lines,,,,,,,,,,,,
"Blank rows mean that you should ""pick up your pen"" when drawing the constellations.",,,,,,,,,,,,
"Dan Bruton, SFA Observatory, astro@sfasu.edu, http://observe.phy.sfasu.edu/",,,,,,,,,,,,
ORI,chi^1,5.906389,20.2667,4.40,,69.7124,1.7088,,-110.2336,-2.7021,,c1
ORI,,,,,,,,,,,,
ORI,mu,6.039722,9.6500,4.10,,80.3457,-0.8356,,-99.6446,1.0363,,m
ORI,xi,6.198889,14.2167,4.40,,75.6806,-3.9442,,-104.0754,5.4240,,x
ORI,chi^2,6.065278,20.1333,4.60,,69.8565,-1.1939,,-110.1173,1.8821,,c2
ORI,,,,,,,,,,,,
GEM,alpha,7.576667,31.8833,1.99,,53.2356,-23.3134,,-111.6467,48.8933,,a
GEM,rho,7.485278,31.7833,4.17,,53.8707,-22.0711,,-112.6919,46.1705,,r
GEM,tau,7.185833,30.2500,4.39,,56.8937,-18.2529,,-114.5016,36.7349,,t
GEM,epsilon,6.732222,25.1333,2.99,,63.6785,-12.3586,,-113.0244,21.9356,,e
GEM,mu,6.382778,22.5167,2.89,,67.1448,-6.7513,,-111.9522,11.2565,,m
GEM,eta,6.247778,22.5000,3.20,,67.3580,-4.3755,,-112.2634,7.2925,,h
GEM,,,,,,,,,,,,
GEM,epsilon,6.732222,25.1333,2.99,,63.6785,-12.3586,,-113.0244,21.9356,,e
GEM,nu,6.482778,20.2167,4.15,,69.2267,-8.7965,,-109.3375,13.8933,,n
GEM,,,,,,,,,,,,
GEM,kappa,7.740833,24.4000,3.56,,58.9043,-28.8729,,-102.7234,50.3515,,k
GEM,upsilon,7.598889,26.9000,4.06,,57.6522,-25.6483,,-106.8073,47.5164,,u
GEM,iota,7.428889,27.8000,3.78,,57.8985,-22.7290,,-109.6534,43.0463,,i
GEM,tau,7.185833,30.2500,4.39,,56.8937,-18.2529,,-114.5016,36.7349,,t
GEM,theta,6.879722,33.9667,3.60,,54.5538,-12.7913,,-120.6934,28.2991,,q
GEM,,,,,,,,,,,,
GEM,beta,7.755278,28.0167,1.15,,55.5532,-27.4913,,-105.7737,52.3436,,b
GEM,upsilon,7.598889,26.9000,4.06,,57.6522,-25.6483,,-106.8073,47.5164,,u
GEM,delta,7.335278,21.9833,3.53,,63.9029,-23.2956,,-105.2104,38.3541,,d
GEM,zeta,7.068611,20.5667,4.15,,66.7339,-19.1724,,-106.2680,30.5304,,z
GEM,gamma,6.628611,16.4000,1.93,,72.6056,-12.0578,,-104.9624,17.4313,,g
GEM,,,,,,,,,,,,
GEM,delta,7.335278,21.9833,3.53,,63.9029,-23.2956,,-105.2104,38.3541,,d
GEM,lambda,7.301667,16.5333,3.57,,69.2420,-24.5539,,-100.4072,35.6054,,l
GEM,xi,6.755000,12.9000,3.35,,75.5988,-15.1404,,-100.8964,20.2069,,x
GEM,,,,,,,,,,,,
CNC,iota,8.778333,28.7667,4.03,,45.7369,-40.7143,,-88.7102,78.9685,,i
CNC,gamma,8.721389,21.4667,4.67,,51.8631,-44.8000,,-84.3532,72.8653,,g
CNC,delta,8.744722,18.1500,3.93,,54.0851,-47.2993,,-81.4099,71.1958,,d
CNC,beta,8.275278,9.2000,3.52,,66.8842,-45.3337,,-82.1153,55.6572,,b
CNC,8,8.084444,13.1167,5.11,,65.7169,-39.9041,,-88.1401,53.5198,,8
CNC,gamma,8.721389,21.4667,4.67,,51.8631,-44.8000,,-84.3532,72.8653,,g
CNC,,,,,,,,,,,,
CNC,delta,8.744722,18.1500,3.93,,54.0851,-47.2993,,-81.4099,71.1958,,d
CNC,alpha,8.974722,11.8667,4.23,,55.6130,-54.8818,,-72.5057,71.5524,,a
CNC,,,,,,,,,,,,
CMI,alpha,7.655000,5.2333,0.36,,76.9337,-35.5891,,-86.4332,39.9835,,a
CMI,beta,7.452500,8.2833,2.89,,75.8794,-30.3304,,-91.2626,36.4794,,b
CMI,,,,,,,,,,,,
CMA,iota,6.935833,-17.0500,4.38,,103.8532,-25.9657,,-70.7715,17.6945,,i
CMA,theta,6.903333,-12.0500,4.06,,99.2095,-23.9097,,-75.7803,18.2632,,q
CMA,gamma,7.062500,-15.6333,4.11,,101.5730,-29.0057,,-71.5081,20.4202,,g
CMA,iota,6.935833,-17.0500,4.38,,103.8532,-25.9657,,-70.7715,17.6945,,i
CMA,alpha,6.752500,-16.7167,-1.47,,104.6525,-20.8879,,-71.8658,14.3439,,a
CMA,nu^3,6.631667,-18.2333,4.41,,106.7568,-17.8171,,-70.7876,11.8140,,n3
CMA,nu,6.611389,-19.2500,3.94,,107.8535,-17.4121,,-69.8456,11.2760,,n
CMA,beta,6.378333,-17.9500,1.98,,107.4209,-10.6747,,-71.6969,7.1247,,b
CMA,,,,,,,,,,,,
CMA,alpha,6.752500,-16.7167,-1.47,,104.6525,-20.8879,,-71.8658,14.3439,,a
CMA,omicron^2,7.050556,-23.8333,3.03,,109.5550,-30.9149,,-63.6798,17.9696,,o2
CMA,delta,7.140000,-26.4000,1.84,,111.2543,-34.2263,,-60.7884,18.7010,,d
CMA,epsilon,6.977222,-28.9667,1.50,,115.0945,-30.1050,,-59.0468,15.4448,,e
CMA,omicron,6.902222,-24.2000,3.86,,111.0291,-26.7241,,-63.9730,15.3979,,o
CMA,nu,6.611389,-19.2500,3.94,,107.8535,-17.4121,,-69.8456,11.2760,,n
CMA,xi,6.530833,-23.4167,4.34,,112.3232,-15.7110,,-65.9414,9.2235,,x
CMA,,,,,,,,,,,,
CMA,delta,7.140000,-26.4000,1.84,,111.2543,-34.2263,,-60.7884,18.7010,,d
CMA,omega,7.246667,-26.7667,3.82,,110.6026,-37.4369,,-59.8953,20.2734,,w
CMA,eta,7.401389,-29.3000,2.44,,111.3606,-42.7938,,-56.6604,21.7735,,h
CMA,,,,,,,,,,,,
CMA,epsilon,6.977222,-28.9667,1.50,,115.0945,-30.1050,,-59.0468,15.4448,,e
CMA,zeta,6.338333,-30.0667,3.02,,119.5960,-10.6211,,-59.6984,5.3017,,z
CMA,,,,,,,,,,,,
CMA,epsilon,6.977222,-28.9667,1.50,,115.0945,-30.1050,,-59.0468,15.4448,,e
CMA,kappa,6.830556,-32.5167,3.94,,119.6318,-26.4305,,-56.1298,12.4009,,k
CMA,,,,,,,,,,,,
MON,15,6.682778,9.8833,4.65,,78.8401,-14.2448,,-98.2918,17.7593,,15
MON,13,6.548333,7.3333,4.48,,81.8163,-11.8264,,-96.3322,13.9246,,13
MON,8,6.396111,4.6000,4.44,,84.9412,-8.8403,,-94.0918,9.7926,,8
MON,18,6.797778,2.4000,4.46,,85.6963,-18.1632,,-90.3920,19.1585,,18
MON,delta,7.197500,-0.5000,4.14,,85.6133,-27.7555,,-85.6133,27.7555,,d
MON,28,8.020278,-1.4000,4.68,,78.9110,-46.1196,,-76.4936,44.7067,,28
MON,zeta,8.143333,-2.9833,4.34,,78.7251,-49.4799,,-73.6733,46.3048,,z
MON,,,,,,,,,,,,
MON,13,6.548333,7.3333,4.48,,81.8163,-11.8264,,-96.3322,13.9246,,13
MON,18,6.797778,2.4000,4.46,,85.6963,-18.1632,,-90.3920,19.1585,,18
MON,,,,,,,,,,,,
MON,28,8.020278,-1.4000,4.68,,78.9110,-46.1196,,-76.4936,44.7067,,28
MON,alpha,7.687500,-9.5500,3.93,,89.9921,-42.5631,,-72.7259,34.3968,,a
MON,,,,,,,,,,,,
MON,delta,7.197500,-0.5000,4.14,,85.6133,-27.7555,,-85.6133,27.7555,,d
MON,beta,6.480278,-7.0333,4.60,,96.2673,-12.1685,,-82.3117,10.4045,,b
MON,gamma,6.247778,-6.2833,3.97,,96.0808,-6.2413,,-83.5406,5.4267,,g
MON,,,,,,,,,,,,
LEP,mu,5.215556,-16.2000,3.32,,103.9683,21.6570,,-72.2492,-15.0498,,m
LEP,alpha,5.545556,-17.8333,2.58,,107.0711,12.7990,,-71.6565,-8.5657,,a
LEP,zeta,5.782500,-14.8333,3.54,,104.6634,5.9661,,-75.0448,-4.2778,,z
LEP,eta,5.940000,-14.1667,3.71,,104.1538,1.6362,,-75.8240,-1.1911,,h
LEP,theta,6.102778,-14.9500,4.67,,104.9120,-2.8236,,-75.0228,2.0191,,q
LEP,delta,5.855278,-20.8667,3.78,,110.7871,4.1995,,-69.0837,-2.6187,,d
LEP,gamma,5.741111,-22.4500,3.60,,112.1918,7.6157,,-67.3949,-4.5748,,g
LEP,beta,5.470833,-20.7500,2.84,,109.6889,15.2938,,-68.5865,-9.5629,,b
LEP,alpha,5.545556,-17.8333,2.58,,107.0711,12.7990,,-71.6565,-8.5657,,a
LEP,,,,,,,,,,,,
LEP,beta,5.470833,-20.7500,2.84,,109.6889,15.2938,,-68.5865,-9.5629,,b
LEP,epsilon,5.091111,-22.3667,3.19,,109.2006,26.4857,,-65.7277,-15.9417,,e
LEP,mu,5.215556,-16.2000,3.32,,103.9683,21.6570,,-72.2492,-15.0498,,m
LEP,,,,,,,,,,,,
LEP,mu,5.215556,-16.2000,3.32,,103.9683,21.6570,,-72.2492,-15.0498,,m
LEP,lambda,5.326111,-13.1833,4.29,,101.5817,18.1097,,-75.6243,-13.4821,,l
LEP,,,,,,,,,,,,
LEP,mu,5.215556,-16.2000,3.32,,103.9683,21.6570,,-72.2492,-15.0498,,m
LEP,kappa,5.220556,-12.9500,4.36,,100.8140,20.8623,,-75.4514,-15.6138,,k
LEP,,,,,,,,,,,,
SEX,alpha,10.132222,-0.37,4.49,,42.2756,-79.4530,,-42.2756,79.4530,,a
SEX,beta,10.505000,-0.63,5.06,,34.3326,-83.1942,,-34.3326,83.1942,,b
SEX,gamma,9.875000,-8.10,5.05,,51.8035,-83.3067,,-43.2488,69.5497,,g
SEX,alpha,10.132222,-0.37,4.49,,42.2756,-79.4530,,-42.2756,79.4530,,a
SEX,,,,,,,,,,,,
PYX,beta,8.668333,-35.3000,3.97,,95.9502,-80.5832,,-41.8873,35.1788,,b
PYX,alpha,8.726389,-33.2000,3.69,,93.1270,-80.6573,,-42.9352,37.1862,,a
PYX,gamma,8.842222,-27.7000,4.01,,86.5923,-79.7187,,-45.8343,42.1960,,g
PYX,,,,,,,,,,,,
TRI,alpha,1.884722,29.5833,3.41,,28.6157,53.2101,,-56.6394,-105.3193,,a
TRI,beta,2.158889,34.9833,3.00,,29.4659,46.4607,,-66.9387,-105.5464,,b
TRI,gamma,2.288611,33.8500,4.00,,31.6656,46.3693,,-69.8448,-102.2767,,g
TRI,alpha,1.884722,29.5833,3.41,,28.6157,53.2101,,-56.6394,-105.3193,,a
TRI,,,,,,,,,,,,
ARI,gamma,1.891944,19.2833,4.75,,33.6119,62.2180,,-51.9428,-96.1498,,g
ARI,beta,1.910833,20.8000,2.63,,33.1917,60.7203,,-53.1451,-97.2226,,b
ARI,alpha,2.119444,23.4500,2.01,,35.0607,56.5655,,-59.7691,-96.4290,,a
ARI,41,2.833056,27.2667,3.61,,42.3787,46.2549,,-79.2179,-86.4638,,41
ARI,,,,,,,,,,,,
LEO,beta,11.817778,14.5667,2.13,,3.5972,-75.3475,,-4.9865,104.4477,,b
LEO,delta,11.235000,20.5167,2.56,,13.8230,-68.0945,,-21.9862,108.3076,,d
LEO,60,11.038889,20.1833,4.41,,17.3824,-67.6182,,-27.4325,106.7137,,60
LEO,gamma,10.333056,19.8500,1.90,,29.6513,-63.5753,,-46.4319,99.5545,,g
LEO,zeta,10.278333,23.4167,3.43,,29.0053,-59.9336,,-49.4070,102.0896,,z
LEO,mu,9.879444,26.0167,3.89,,33.7243,-54.3741,,-61.1500,98.5928,,m
LEO,kappa,9.410833,26.1833,4.46,,40.0203,-49.7086,,-72.8602,90.4984,,k
LEO,lambda,9.528611,22.9833,4.31,,40.3978,-53.4720,,-68.1066,90.1484,,l
LEO,epsilon,9.764167,23.7667,2.97,,36.5928,-55.2071,,-62.8541,94.8273,,e
LEO,eta,10.122222,16.7667,3.53,,34.5689,-64.5609,,-50.3979,94.1232,,h
LEO,theta,11.237500,15.4333,3.34,,14.7865,-73.0859,,-20.9073,103.3396,,q
LEO,delta,11.235000,20.5167,2.56,,13.8230,-68.0945,,-21.9862,108.3076,,d
LEO,,,,,,,,,,,,
LEO,epsilon,9.764167,23.7667,2.97,,36.5928,-55.2071,,-62.8541,94.8273,,e
LEO,mu,9.879444,26.0167,3.89,,33.7243,-54.3741,,-61.1500,98.5928,,m
LEO,,,,,,,,,,,,
LEO,omicron,9.685833,9.9000,3.48,,45.6137,-65.8438,,-56.8889,82.1198,,o
LEO,eta,10.122222,16.7667,3.53,,34.5689,-64.5609,,-50.3979,94.1232,,h
LEO,alpha,10.139444,11.9667,1.35,,36.5242,-68.9579,,-47.7263,90.1077,,a
LEO,31,10.131667,10.0000,4.37,,37.5885,-70.6194,,-46.9857,88.2743,,31
LEO,,,,,,,,,,,,
LEO,rho,10.546944,9.3000,3.85,,29.9639,-74.9310,,-36.8701,92.2013,,r
LEO,theta,11.237500,15.4333,3.34,,14.7865,-73.0859,,-20.9073,103.3396,,q
LEO,iota,11.398889,10.5333,3.95,,12.4542,-78.4847,,-15.7558,99.2910,,i
LEO,sigma,11.352222,6.0333,4.03,,14.1716,-82.7621,,-16.2081,94.6557,,s
LEO,,,,,,,,,,,,
LMI,beta,10.464722,36.7000,4.20,,20.8509,-49.0523,,-49.5650,116.6027,,b
LMI,46,10.888333,34.2167,3.81,,16.0066,-53.4375,,-35.6430,118.9931,,46
LMI,21,10.123889,35.2500,4.48,,25.8230,-48.2777,,-59.0746,110.4435,,21
LMI,beta,10.464722,36.7000,4.20,,20.8509,-49.0523,,-49.5650,116.6027,,b
LMI,,,,,,,,,,,,
LYN,alpha,9.350833,34.4000,3.14,,35.5435,-42.7554,,-79.5253,95.6613,,a
LYN,38,9.313889,36.8167,3.81,,34.3925,-40.5662,,-82.0097,96.7310,,38
LYN,31,8.380556,43.2000,4.25,,38.0015,-27.3153,,-108.1582,77.7434,,31
LYN,21,7.445278,49.2167,4.55,,37.8986,-15.0657,,-129.3694,51.4279,,21
LYN,15,6.954444,58.4167,4.35,,30.6025,-7.8100,,-143.8074,36.7006,,15
LYN,2,6.326944,59.0167,4.45,,30.8699,-2.6487,,-148.4711,12.7393,,2
LYN,,,,,,,,,,,,
VIR,nu,11.764167,6.5167,4.03,,5.1511,-83.3243,,-5.9553,96.3328,,n
VIR,beta,11.845000,1.7667,3.61,,3.5794,-88.1607,,-3.7228,91.6911,,b
VIR,eta,12.331667,-0.6667,3.88,,-7.8049,-89.6609,,7.8049,89.6609,,h
VIR,gamma,12.694444,-1.4500,3.68,,-16.5346,-89.9428,,16.0103,87.0906,,g
VIR,delta,12.926667,3.3833,3.37,,-20.8078,-84.0802,,22.4333,90.6487,,d
VIR,epsilon,13.036389,10.9667,2.83,,-21.1817,-76.1420,,27.0600,97.2729,,e
VIR,,,,,,,,,,,,
VIR,gamma,12.694444,-1.4500,3.68,,-16.5346,-89.9428,,16.0103,87.0906,,g
VIR,theta,13.165833,-5.5333,4.37,,-28.7075,-91.1180,,25.3820,80.5628,,q
VIR,alpha,13.419722,-11.1500,0.97,,-36.7360,-94.2432,,28.6370,73.4659,,a
VIR,iota,14.266944,-6.0000,4.08,,-53.6883,-79.5837,,46.9773,69.6357,,i
VIR,mu,14.717500,-5.6500,3.88,,-62.4523,-72.4475,,55.0742,63.8886,,m
VIR,,,,,,,,,,,,
VIR,theta,13.165833,-5.5333,4.37,,-28.7075,-91.1180,,25.3820,80.5628,,q
VIR,zeta,13.578333,-0.6000,3.36,,-36.1393,-82.4254,,36.1393,82.4254,,z
VIR,tau,14.027222,1.5500,4.26,,-44.7698,-76.2828,,46.3389,78.9564,,t
VIR,109,14.770833,1.9000,3.73,,-58.4488,-65.9193,,60.9698,68.7626,,109
VIR,,,,,,,,,,,,
VEL,mu,10.779444,-49.4333,2.68,,43.8003,-132.3752,,-12.7432,38.5132,,m
VEL,psi,9.511667,-40.4667,3.58,,79.1066,-103.7483,,-30.0338,39.3894,,y
VEL,lambda,9.133333,-43.4333,2.24,,91.0013,-97.5870,,-31.7584,34.0567,,l
VEL,gamma,8.158889,-47.3500,1.83,,115.9898,-73.5621,,-36.0172,22.8425,,g
VEL,delta,8.745278,-54.7167,1.95,,108.9216,-95.2837,,-26.5562,23.2311,,d
VEL,kappa,9.368611,-55.0167,2.49,,92.1850,-111.9454,,-22.2384,27.0053,,k
VEL,phi,9.947778,-54.5833,3.54,,73.9967,-124.2128,,-18.1260,30.4268,,j
VEL,mu,10.779444,-49.4333,2.68,,43.8003,-132.3752,,-12.7432,38.5132,,m
VEL,,,,,,,,,,,,
CEN,alpha,14.660000,-60.8333,0.33,,-96.7520,-115.7141,,18.7089,22.3757,,a
CEN,beta,14.063889,-60.3667,0.61,,-77.3508,-128.9457,,15.2438,25.4118,,b
CEN,epsilon,13.664722,-53.4667,2.30,,-60.5654,-130.0558,,15.4228,33.1183,,e
CEN,zeta,13.925556,-47.3000,2.54,,-66.3197,-120.2206,,20.6253,37.3883,,z
CEN,upsilon^1,13.978056,-44.8000,3.86,,-66.7282,-117.1255,,22.3747,39.2735,,u1
CEN,mu,13.826944,-42.4833,3.47,,-60.9774,-117.6163,,21.8702,42.1844,,m
CEN,nu,13.825000,-41.6833,3.41,,-60.5496,-116.9369,,22.2166,42.9060,,n
CEN,theta,14.111389,-36.3833,2.07,,-66.3561,-107.5621,,28.1508,45.6320,,q
CEN,,,,,,,,,,,,
CEN,kappa,14.985833,-42.1000,3.13,,-93.0617,-93.7546,,33.7446,33.9958,,k
CEN,eta,14.591667,-42.1500,2.32,,-82.9404,-102.8810,,30.0318,37.2520,,h
CEN,mu,13.826944,-42.4833,3.47,,-60.9774,-117.6163,,21.8702,42.1844,,m
CEN,iota,13.343056,-36.7167,2.75,,-43.6426,-118.9640,,18.3514,50.0234,,i
CEN,,,,,,,,,,,,
CEN,zeta,13.925556,-47.3000,2.54,,-66.3197,-120.2206,,20.6253,37.3883,,z
CEN,gamma,12.691944,-48.9667,2.16,,-25.0364,-136.6928,,7.3926,40.3619,,g
CEN,sigma,12.467500,-50.2333,3.92,,-17.1205,-139.1843,,4.8549,39.4692,,s
CEN,delta,12.139167,-50.7167,2.58,,-5.1257,-140.6233,,1.4309,39.2573,,d
CEN,pi,11.350278,-54.5000,3.88,,24.4606,-142.4146,,-6.0094,34.9877,,p
CEN,lambda,11.596389,-63.0167,3.13,,16.1385,-152.1632,,-2.8459,26.8328,,l
CEN,,,,,,,,,,,,
CRT,theta,11.611389,-9.8000,4.75,,10.1360,-99.2839,,-8.1453,79.7853,,q
CRT,epsilon,11.410278,-10.8667,4.81,,15.5109,-99.6669,,-12.1688,78.1921,,e
CRT,delta,11.322222,-14.7667,3.56,,18.4926,-103.1217,,-13.2796,74.0521,,d
CRT,alpha,10.996111,-18.3000,4.07,,28.1366,-104.5812,,-18.6278,69.2380,,a
CRT,beta,11.194167,-22.8333,4.47,,23.6279,-110.3317,,-14.0651,65.6775,,b
CRT,gamma,11.414722,-17.6833,4.06,,16.4353,-106.4217,,-11.0374,71.4694,,g
CRT,zeta,11.746111,-18.3500,4.72,,7.1965,-108.1107,,-4.7589,71.4918,,z
CRT,eta,11.933611,-17.1500,5.17,,1.8622,-107.1338,,-1.2661,72.8390,,h
CRT,,,,,,,,,,,,
CRT,gamma,11.414722,-17.6833,4.06,,16.4353,-106.4217,,-11.0374,71.4694,,g
CRT,delta,11.322222,-14.7667,3.56,,18.4926,-103.1217,,-13.2796,74.0521,,d
ANT,,,,,,,,,,,,
ANT,iota,10.945278,-37.1333,4.59,,34.6604,-122.3174,,-14.4130,50.8640,,i
ANT,alpha,10.452778,-31.0833,4.24,,47.7160,-111.2850,,-23.2176,54.1490,,a
ANT,theta,9.736667,-27.7667,4.78,,65.7691,-97.6904,,-34.7554,51.6241,,q
ANT,epsilon,9.487500,-35.9500,4.50,,77.0001,-99.6714,,-33.0437,42.7728,,e
ANT,alpha,10.452778,-31.0833,4.24,,47.7160,-111.2850,,-23.2176,54.1490,,a
ANT,,,,,,,,,,,,
HYA,pi,14.106389,-26.6833,3.26,,-61.1332,-99.3868,,33.1731,53.9309,,p
HYA,gamma,13.315278,-23.1833,2.98,,-38.2078,-106.5393,,22.5556,62.8944,,g
HYA,beta,11.881667,-33.9000,4.28,,3.8378,-123.8405,,-1.7377,56.0731,,b
HYA,xi,11.550000,-31.8500,3.54,,14.3219,-121.0054,,-6.8348,57.7469,,x
HYA,nu,10.826944,-16.1833,3.11,,32.0993,-101.2153,,-22.3148,70.3630,,n
HYA,mu,10.434722,-16.8500,3.81,,42.5707,-98.0034,,-29.1441,67.0935,,m
HYA,lambda,10.176389,-12.3667,3.61,,47.0364,-90.9204,,-35.6717,68.9526,,l
HYA,upsilon^1,9.858056,-14.8500,4.10,,55.7623,-88.7924,,-39.9670,63.6409,,u1
HYA,alpha,9.459722,-8.6667,1.98,,60.8865,-77.6398,,-50.1902,64.0004,,a
HYA,iota,9.664167,-1.1333,3.88,,52.3208,-74.6178,,-51.0195,72.7619,,i
HYA,theta,9.239444,2.3167,3.88,,57.9956,-65.7638,,-61.0602,69.2389,,q
HYA,zeta,8.923333,5.9500,3.11,,60.6132,-58.2276,,-69.1949,66.4715,,z
HYA,epsilon,8.779722,6.4167,3.37,,62.4106,-55.5976,,-71.9930,64.1341,,e
HYA,delta,8.627778,5.7000,4.14,,65.1259,-53.5267,,-73.9329,60.7652,,d
HYA,sigma,8.646111,3.3500,4.43,,66.6765,-55.3395,,-71.8321,59.6185,,s
HYA,eta,8.720556,3.3833,4.29,,65.5602,-56.6067,,-70.6818,61.0289,,h
HYA,zeta,8.923333,5.9500,3.11,,60.6132,-58.2276,,-69.1949,66.4715,,z
HYA,,,,,,,,,,,,
PUP,rho,8.125833,-24.3000,2.81,,97.0506,-60.3793,,-55.7850,34.7062,,r
PUP,xi,7.821389,-24.8667,3.35,,102.0533,-52.7207,,-57.8677,29.8944,,x
PUP,zeta,8.059722,-40.0000,2.25,,111.5533,-66.7523,,-42.9051,25.6739,,z
PUP,pi,7.285833,-37.1000,2.70,,119.9663,-41.9822,,-49.9309,17.4733,,p
PUP,sigma,7.487222,-43.3000,3.24,,123.3231,-50.5994,,-43.2047,17.7269,,s
PUP,zeta,8.059722,-40.0000,2.25,,111.5533,-66.7523,,-42.9051,25.6739,,z
PUP,,,,,,,,,,,,
PUP,sigma,7.487222,-43.3000,3.24,,123.3231,-50.5994,,-43.2047,17.7269,,s
PUP,L2,7.226678,-44.6500,4.42,,127.7660,-42.5025,,-43.0315,14.3148,,L2
PUP,nu,6.629444,-43.1833,3.17,,131.3791,-21.8478,,-46.1824,7.6800,,n
PUP,tau,6.832222,-50.6167,2.92,,137.2923,-30.3951,,-38.4523,8.5129,,t
PUP,L2,7.226678,-44.6500,4.42,,127.7660,-42.5025,,-43.0315,14.3148,,L2
PUP,,,,,,,,,,,,
COL,delta,6.368611,-33.4333,3.84,,122.8590,-11.8931,,-56.3035,5.4503,,d
COL,gamma,5.959167,-35.2833,4.36,,125.2762,1.3393,,-54.7135,-0.5849,,g
COL,beta,5.849444,-35.7667,3.11,,125.6690,4.9559,,-54.1912,-2.1371,,b
COL,alpha,5.660833,-34.0833,2.63,,123.5945,11.0033,,-55.6964,-4.9585,,a
COL,epsilon,5.520278,-35.4833,3.86,,124.4950,15.7182,,-54.0873,-6.8288,,e
COL,,,,,,,,,,,,
COL,beta,5.849444,-35.7667,3.11,,125.6690,4.9559,,-54.1912,-2.1371,,b
COL,eta,5.985833,-42.8167,3.95,,132.8158,0.4926,,-47.1830,-0.1750,,h
COL,,,,,,,,,,,,
CAR,alpha,6.399167,-52.6833,-0.72,,141.9049,-14.8835,,-37.1131,3.8926,,a
CAR,chi,7.946389,-52.9833,3.46,,124.8184,-69.7467,,-32.3140,18.0566,,c
CAR,epsilon,8.375278,-59.5000,1.88,,121.5142,-87.0893,,-24.7905,17.7674,,e
CAR,iota,9.285000,-59.2667,2.25,,97.3859,-113.1217,,-20.0513,23.2912,,i
CAR,q,10.284716,-61.3167,3.39,,65.6895,-136.3144,,-12.4520,25.8395,,q
CAR,p,10.533740,-61.6833,3.30,,56.8066,-140.6444,,-10.6048,26.2559,,p
CAR,theta,10.715833,-64.3833,2.76,,50.9305,-145.7405,,-8.4509,24.1826,,q
CAR,omega,10.229167,-70.0333,3.31,,71.5627,-143.1414,,-8.9286,17.8591,,w
CAR,beta,9.220000,-69.7167,1.68,,106.2484,-119.2506,,-13.4931,15.1443,,b
CAR,upsilon,9.785000,-65.0667,3.15,,84.9654,-129.7172,,-13.6617,20.8574,,u
CAR,L,9.754167,-62.5167,3.40,,84.5953,-126.9053,,-15.2440,22.8682,,L
CAR,iota,9.285000,-59.2667,2.25,,97.3859,-113.1217,,-20.0513,23.2912,,i
CAR,,,,,,,,,,,,
CAS,epsilon,1.906667,63.6833,3.37,,12.5976,23.1056,,-73.5670,-134.9314,,e
CAS,delta,1.430278,60.2333,2.68,,10.8874,27.7041,,-54.9489,-139.8237,,d
CAS,gamma,0.945000,60.7167,2.57,,7.1710,28.3917,,-36.9082,-146.1277,,g
